ro	en	fr
Îmbinările sunt locul unde se vede dacă tăierea în cinci a fost corectă: o linie continuă din film trebuie să treacă fără cot și fără salt de scară.	Check the seams to verify the five crops: a continuous line in the film should cross them without bending or changing scale.	Vérifiez les raccords pour contrôler les cinq découpes : une ligne continue du film doit les traverser sans déformation ni changement d'échelle.
Cinci decodoare independente nu rămân singure împreună. Panoul central e ceasul; celelalte se corectează continuu. Corecția fină e prin viteză de redare, iar peste prag se face salt.	Five independent decoders need active synchronization. The centre panel provides the clock; the others are continuously corrected. Small drift is corrected by playback speed, with a seek above the threshold.	Cinq décodeurs indépendants nécessitent une synchronisation active. L'écran central fournit l'horloge ; les autres sont corrigés en continu. Les petits décalages sont corrigés par la vitesse de lecture, puis par repositionnement au-delà du seuil.
⏸ Pauză	⏸ Pause	⏸ Pause
panelsDir nesetat	panelsDir not configured	panelsDir non configuré
config.video.panelsDir nu este setat. Adaugă în config.json: "video": { …, "panelsDir": "C:/Users/…/Video/panels" }	config.video.panelsDir is not configured. Add to config.json: "video": { …, "panelsDir": "C:/Users/…/Video/panels" }	config.video.panelsDir n'est pas configuré. Ajoutez dans config.json : "video": { …, "panelsDir": "C:/Users/…/Video/panels" }
Nava Glass · Testarea clipurilor · Redarea în browser nu confirmă comportamentul pe televizoarele reale.	Nava Glass · Video clip testing · Browser playback does not verify playback on physical TVs.	Nava Glass · Test des vidéos · La lecture dans le navigateur ne vérifie pas le comportement des téléviseurs physiques.
Jurnal	Log	Journal
EXODUS7 · MISSION CONTROL	EXODUS7 · MISSION CONTROL	EXODUS7 · CENTRE DE CONTRÔLE
Cele mai recente 8 jurnale	8 most recent logs	Les 8 journaux les plus récents
Poți folosi date mobile sau orice conexiune la internet. După descărcare, păstrează PDF-ul și offline.	Use mobile data or any internet connection. Once downloaded, your PDF is available offline.	Utilisez les données mobiles ou toute connexion internet. Une fois téléchargé, le PDF reste disponible hors ligne.
